Year,Month,DayOfWeek,Hour,Total
2019,2,7,23,10.25
2019,3,1,0,6.5
2019,3,1,1,2.0
2019,3,1,2,4.25
2019,3,1,3,1.75
2019,3,1,4,3.75
2019,3,1,5,18.25
2019,3,1,6,69.0
2019,3,1,7,248.25
2019,3,1,8,359.0
2019,3,1,9,175.25
2019,3,1,10,91.0
2019,3,1,11,84.75
2019,3,1,12,97.75
2019,3,1,13,97.25
2019,3,1,14,120.5
2019,3,1,15,129.5
2019,3,1,16,169.25
2019,3,1,17,254.25
2019,3,1,18,285.25
2019,3,1,19,173.25
2019,3,1,20,93.0
2019,3,1,21,55.0
2019,3,1,22,43.5
2019,3,1,23,23.25
2019,3,2,0,8.5
2019,3,2,1,3.0
2019,3,2,2,4.75
2019,3,2,3,1.25
2019,3,2,4,5.25
2019,3,2,5,19.75
2019,3,2,6,73.75
2019,3,2,7,258.75
2019,3,2,8,396.0
2019,3,2,9,209.25
2019,3,2,10,106.5
2019,3,2,11,104.25
2019,3,2,12,125.25
2019,3,2,13,153.25
2019,3,2,14,158.25
2019,3,2,15,185.75
2019,3,2,16,230.0
2019,3,2,17,292.25
2019,3,2,18,335.75
2019,3,2,19,200.0
2019,3,2,20,117.25
2019,3,2,21,77.0
2019,3,2,22,72.75
2019,3,2,23,35.0
2019,3,3,0,16.5
2019,3,3,1,7.5
2019,3,3,2,3.5
2019,3,3,3,3.5
2019,3,3,4,5.75
2019,3,3,5,21.25
2019,3,3,6,75.5
2019,3,3,7,242.5
2019,3,3,8,406.75
2019,3,3,9,223.25
2019,3,3,10,114.0
2019,3,3,11,114.25
2019,3,3,12,120.25
2019,3,3,13,143.5
2019,3,3,14,148.5
2019,3,3,15,180.0
2019,3,3,16,228.25
2019,3,3,17,331.0
2019,3,3,18,331.25
2019,3,3,19,208.5
2019,3,3,20,141.5
2019,3,3,21,95.25
2019,3,3,22,75.75
2019,3,3,23,49.75
2019,3,4,0,20.75
2019,3,4,1,8.0
2019,3,4,2,5.25
2019,3,4,3,4.75
2019,3,4,4,4.5
2019,3,4,5,21.75
2019,3,4,6,79.75
2019,3,4,7,249.25
2019,3,4,8,434.75
2019,3,4,9,225.75
2019,3,4,10,122.0
2019,3,4,11,109.25
2019,3,4,12,128.25
2019,3,4,13,140.5
2019,3,4,14,147.75
2019,3,4,15,182.25
2019,3,4,16,214.75
2019,3,4,17,306.0
2019,3,4,18,348.5
2019,3,4,19,208.5
2019,3,4,20,117.75
2019,3,4,21,95.5
2019,3,4,22,96.5
2019,3,4,23,48.0
2019,3,5,0,19.6
2019,3,5,1,7.2
2019,3,5,2,3.8
2019,3,5,3,3.0
2019,3,5,4,4.0
2019,3,5,5,18.4
2019,3,5,6,62.0
2019,3,5,7,212.0
2019,3,5,8,338.2
2019,3,5,9,188.2
2019,3,5,10,110.4
2019,3,5,11,112.6
2019,3,5,12,138.0
2019,3,5,13,164.2
2019,3,5,14,192.2
2019,3,5,15,221.2
2019,3,5,16,245.4
2019,3,5,17,279.4
2019,3,5,18,245.4
2019,3,5,19,174.8
2019,3,5,20,83.6
2019,3,5,21,68.8
2019,3,5,22,64.0
2019,3,5,23,52.0
2019,3,6,0,38.2
2019,3,6,1,22.2
2019,3,6,2,12.2
2019,3,6,3,5.6
2019,3,6,4,5.0
2019,3,6,5,9.6
2019,3,6,6,10.4
2019,3,6,7,23.4
2019,3,6,8,50.0
2019,3,6,9,96.0
2019,3,6,10,147.4
2019,3,6,11,200.2
2019,3,6,12,232.0
2019,3,6,13,299.4
2019,3,6,14,330.4
2019,3,6,15,311.0
2019,3,6,16,301.8
2019,3,6,17,274.4
2019,3,6,18,220.6
2019,3,6,19,154.0
2019,3,6,20,90.8
2019,3,6,21,55.8
2019,3,6,22,68.0
2019,3,6,23,46.8
2019,3,7,0,45.8
2019,3,7,1,28.6
2019,3,7,2,14.8
2019,3,7,3,10.0
2019,3,7,4,7.0
2019,3,7,5,9.8
2019,3,7,6,13.0
2019,3,7,7,21.2
2019,3,7,8,39.6
2019,3,7,9,102.0
2019,3,7,10,175.8
2019,3,7,11,259.8
2019,3,7,12,351.2
2019,3,7,13,430.8
2019,3,7,14,509.0
2019,3,7,15,454.6
2019,3,7,16,401.0
2019,3,7,17,331.8
2019,3,7,18,213.0
2019,3,7,19,104.8
2019,3,7,20,63.2
2019,3,7,21,46.4
2019,3,7,22,39.8
2019,3,7,23,23.0
2019,4,1,0,15.0
2019,4,1,1,7.4
2019,4,1,2,5.0
2019,4,1,3,2.8
2019,4,1,4,4.2
2019,4,1,5,21.0
2019,4,1,6,75.4
2019,4,1,7,245.6
2019,4,1,8,416.4
2019,4,1,9,214.2
2019,4,1,10,140.6
2019,4,1,11,157.8
2019,4,1,12,193.2
2019,4,1,13,218.2
2019,4,1,14,240.0
2019,4,1,15,284.2
2019,4,1,16,326.6
2019,4,1,17,410.2
2019,4,1,18,451.6
2019,4,1,19,285.6
2019,4,1,20,155.6
2019,4,1,21,100.6
2019,4,1,22,98.0
2019,4,1,23,39.2
2019,4,2,0,14.2
2019,4,2,1,4.0
2019,4,2,2,4.8
2019,4,2,3,3.2
2019,4,2,4,4.6
2019,4,2,5,26.2
2019,4,2,6,96.4
2019,4,2,7,311.2
2019,4,2,8,551.0
2019,4,2,9,295.0
2019,4,2,10,155.4
2019,4,2,11,152.4
2019,4,2,12,167.0
2019,4,2,13,218.2
2019,4,2,14,232.0
2019,4,2,15,272.0
2019,4,2,16,336.6
2019,4,2,17,478.8
2019,4,2,18,523.8
2019,4,2,19,378.0
2019,4,2,20,198.4
2019,4,2,21,139.4
2019,4,2,22,140.2
2019,4,2,23,77.0
2019,4,3,0,29.25
2019,4,3,1,9.25
2019,4,3,2,7.75
2019,4,3,3,4.75
2019,4,3,4,4.75
2019,4,3,5,25.5
2019,4,3,6,108.25
2019,4,3,7,341.0
2019,4,3,8,625.5
2019,4,3,9,345.5
2019,4,3,10,176.0
2019,4,3,11,186.25
2019,4,3,12,227.0
2019,4,3,13,233.5
2019,4,3,14,255.5
2019,4,3,15,311.25
2019,4,3,16,396.0
2019,4,3,17,546.0
2019,4,3,18,607.75
2019,4,3,19,363.0
2019,4,3,20,208.75
2019,4,3,21,151.25
2019,4,3,22,140.25
2019,4,3,23,84.75
2019,4,4,0,40.25
2019,4,4,1,16.0
2019,4,4,2,6.5
2019,4,4,3,4.0
2019,4,4,4,7.75
2019,4,4,5,23.25
2019,4,4,6,107.25
2019,4,4,7,319.25
2019,4,4,8,578.0
2019,4,4,9,328.5
2019,4,4,10,185.5
2019,4,4,11,184.25
2019,4,4,12,208.5
2019,4,4,13,257.25
2019,4,4,14,272.5
2019,4,4,15,315.25
2019,4,4,16,381.0
2019,4,4,17,494.0
2019,4,4,18,548.25
2019,4,4,19,353.25
2019,4,4,20,205.5
2019,4,4,21,148.0
2019,4,4,22,146.0
2019,4,4,23,96.75
2019,4,5,0,41.25
2019,4,5,1,22.25
2019,4,5,2,9.25
2019,4,5,3,4.75
2019,4,5,4,5.75
2019,4,5,5,20.25
2019,4,5,6,59.5
2019,4,5,7,206.5
2019,4,5,8,329.0
2019,4,5,9,223.0
2019,4,5,10,146.5
2019,4,5,11,184.75
2019,4,5,12,233.25
2019,4,5,13,246.75
2019,4,5,14,277.25
2019,4,5,15,275.0
2019,4,5,16,299.75
2019,4,5,17,330.25
2019,4,5,18,295.5
2019,4,5,19,212.5
2019,4,5,20,127.25
2019,4,5,21,80.5
2019,4,5,22,80.5
2019,4,5,23,63.25
2019,4,6,0,43.75
2019,4,6,1,28.5
2019,4,6,2,17.25
2019,4,6,3,7.75
2019,4,6,4,6.0
2019,4,6,5,10.25
2019,4,6,6,17.5
2019,4,6,7,32.75
2019,4,6,8,49.0
2019,4,6,9,101.0
2019,4,6,10,133.25
2019,4,6,11,199.25
2019,4,6,12,245.0
2019,4,6,13,267.0
2019,4,6,14,307.5
2019,4,6,15,315.0
2019,4,6,16,292.5
2019,4,6,17,283.5
2019,4,6,18,264.0
2019,4,6,19,197.0
2019,4,6,20,108.5
2019,4,6,21,78.0
2019,4,6,22,81.25
2019,4,6,23,54.75
2019,4,7,0,42.0
2019,4,7,1,33.5
2019,4,7,2,18.75
2019,4,7,3,13.75
2019,4,7,4,10.75
2019,4,7,5,10.75
2019,4,7,6,16.0
2019,4,7,7,23.0
2019,4,7,8,53.75
2019,4,7,9,108.75
2019,4,7,10,184.25
2019,4,7,11,230.0
2019,4,7,12,290.25
2019,4,7,13,328.5
2019,4,7,14,356.5
2019,4,7,15,367.0
2019,4,7,16,338.75
2019,4,7,17,299.5
2019,4,7,18,246.75
2019,4,7,19,174.5
2019,4,7,20,104.25
2019,4,7,21,70.75
2019,4,7,22,53.5
2019,4,7,23,31.5
2019,5,1,0,11.5
2019,5,1,1,4.5
2019,5,1,2,4.0
2019,5,1,3,2.0
2019,5,1,4,7.75
2019,5,1,5,22.25
2019,5,1,6,86.25
2019,5,1,7,310.0
2019,5,1,8,516.5
2019,5,1,9,277.25
2019,5,1,10,140.75
2019,5,1,11,131.75
2019,5,1,12,142.75
2019,5,1,13,173.0
2019,5,1,14,172.5
2019,5,1,15,214.0
2019,5,1,16,274.75
2019,5,1,17,361.75
2019,5,1,18,391.25
2019,5,1,19,234.75
2019,5,1,20,147.0
2019,5,1,21,90.25
2019,5,1,22,69.0
2019,5,1,23,32.0
2019,5,2,0,12.5
2019,5,2,1,6.5
2019,5,2,2,4.0
2019,5,2,3,1.5
2019,5,2,4,7.5
2019,5,2,5,16.0
2019,5,2,6,83.75
2019,5,2,7,280.75
2019,5,2,8,462.5
2019,5,2,9,255.5
2019,5,2,10,125.5
2019,5,2,11,101.5
2019,5,2,12,128.5
2019,5,2,13,142.25
