Time,Gesamt,Stadteinwärts,Stadtauswärts,
2019-12-04 00:00:00,730,367,363,
2019-12-05 00:00:00,659,322,337,
2019-12-06 00:00:00,475,228,247,
2019-12-07 00:00:00,365,182,183,
2019-12-08 00:00:00,143,66,77,
2019-12-09 00:00:00,449,208,241,
2019-12-10 00:00:00,700,355,345,
2019-12-11 00:00:00,424,188,236,
2019-12-12 00:00:00,640,313,327,
2019-12-13 00:00:00,405,205,200,
2019-12-14 00:00:00,346,138,208,
2019-12-15 00:00:00,218,109,109,
2019-12-16 00:00:00,684,329,355,
2019-12-17 00:00:00,813,404,409,
2019-12-18 00:00:00,807,410,397,
2019-12-19 00:00:00,862,425,437,
2019-12-20 00:00:00,581,294,287,
2019-12-21 00:00:00,532,270,262,
2019-12-22 00:00:00,175,81,94,
2019-12-23 00:00:00,453,221,232,
2019-12-24 00:00:00,185,93,92,
2019-12-25 00:00:00,84,40,44,
2019-12-26 00:00:00,150,83,67,
2019-12-27 00:00:00,466,226,240,
2019-12-28 00:00:00,257,117,140,
2019-12-29 00:00:00,169,76,93,
2019-12-30 00:00:00,488,254,234,
2019-12-31 00:00:00,222,109,113,
